SERIE,d7 d6 d5
AA,1
EA,4
HA,7
EB,10
HB,13
EC,16
HC,19
FD,22
AE,25
EE,28
HE,31
BA ,2
FA ,5
AB ,8
FB,11
AC,14
FC,17
BD,20
GD,23
BE,26
FE,29
AF,32
CA,3
GA,6
CB,9
GB,12
BC,15
GC,18
ED,21
HD,24
CE,27
GE,30
BF,33
CA,3
GA,6
CB,9
GB,12
BC,15
GC,18
ED,21
HD,24
CE,27
GE,30
BF,33
FF,36
AG,39
EG,42
AH,45
EH,48
HH,51
CJ,54
GJ,57
CK,60
GK,63
BL,66
FL,69
AN,72
EN,75
HN,78
CP,81
GP,84
BR,87
CR,88
GR,91
BS,94
FS,97
AT,100
ET,103
HT,106
CU,109
GU,112
BV,115
FV,118
AX,121
EX,124
HX,127
ER,89
HR,92
CS,95
GS,98
BT,101
FT,104
AU,107
EU,110
HU,113
CV,116
GV,119
BX,122
FX,125
BY,128
FR,90
AS,93
ES,96
HS,99
CT,102
GT,105
BU,108
FU,111
AV,114
EV,117
HV,120
CX,123
GX,126
CY,129
EY,130
HY,133
CZ,136
GZ,139
DD,142
DG,145
DJ,148
DN,151
DS,154
DV,157
DZ,160
KC,163
KF,166
KJ,169
KN,172
KS,175
FY,131
AZ,134
EZ,137
DA,140
DE,143
DH,146
DK,149
DP,152
DT,155
DX,158
KA,161
KD,164
KG,167
KK,170
KP,173
KT,176
GY,132
BZ,135
FZ,138
DB,141
DF,144
DI,147
DL,150
DR,153
DU,156
DY,159
KB,162
KE,165
KH,168
KL,171
KR,174
KU,177
KV,178
KZ,181
LC,184
LF,187
LJ,190
LN,193
LS,196
LV,199
LZ,202
NC,205
NF,208
NJ,211
NN,214
NS,217
NV,220
PA,223
PD,226
KX,179
LA,182
LD,185
LG,188
LK,191
LP,194
LT,197
LX,200
NA,203
ND,206
NG,209
NK,212
NP,215
NT,218
NY,221
PB,224
PE,227
KY,180
LB,183
LE,186
LH,189
LL,192
LR,195
LU,198
LY,201
NB,204
NE,207
NH,210
NL,213
NR,216
NU,219
NZ,222
PC,225
PF,228
PG,229
PK,232
PP,235
PU,238
PY,241
RA,244
RD,247
RG,250
RK,253
RP,256
RT,259
RX,262
HZ,265
PH,230
PL,233
PS,236
PV,239
PZ,242
RB,245
RE,248
RH,251
RL,254
RR,257
RU,260
RY,263
SA,266
PJ,231
PN,234
PT,237
PX,240
NX,243
RC,246
RF,249
RJ,252
RN,255
RS,258
RV,261
RZ,264
SB,267
SC,268
SF,271
SJ,274
SN,277
SS,280
SV,283
SZ,286
TC,289
TF,292
TJ,295
TN,298
TS,301
TV,304
TZ,307
UC,310
UF,313
UJ,316
UN,319
US,322
SD,269
SG,272
SK,275
SP,278
ST,281
SX,284
TA,287
TD,290
TG,293
TK,296
TP,299
TT,302
TX,305
UA,308
UD,311
UG,314
UK,317
UP,320
UT,323
SE,270
SH,273
SL,276
SR,279
SU,282
SY,285
TB,288
TE,291
TH,294
TL,297
TR,300
TU,303
TY,306
UB,309
UE,312
UH,315
UL,318
UR,321
UU,324
UV,325
UZ,328
VC,331
VF,334
VJ,337
VN,340
VS,343
VV,346
VZ,349
XC,352
XF,355
UX,326
VA,329
VD,332
VG,335
VK,338
VP,341
VT,344
VX,347
XA,350
XD,353
XG,356
UY,327
VB,330
VE,333
VH,336
VL,339
VR,342
VU,345
VY,348
XB,351
XE,354
XH,357
XJ,358
XM,361
XQ,364
XT,367
XX,370
YA,373
JB,376
JE,379
YE,382
YH,385
YL,388
YR,391
YU,394
YY,397
ZB,400
ZE,403
ZH,406
ZK,409
JG,412
ZP,415
ZT,418
ZX,421
XK,359
XN,362
XR,365
XU,368
XY,371
YB,374
JC,377
YC,380
YF,383
YJ,386
YN,389
YS,392
YV,395
YZ,398
ZC,401
ZF,404
ZI,407
ZL,410
JH,413
ZR,416
ZU,419
ZY,422
XL,360
XP,363
XS,366
XV,369
XZ,372
JA,375
JD,378
YD,381
YG,384
YK,387
YP,390
YT,393
YX,396
ZA,399
ZD,402
ZG,405
ZJ,408
JF,411
ZN,414
ZS,417
ZV,420
ZZ,423
WA,430
WD,433
WG,436
WK,439
WP,442
WT,445
JK,448
WB,431
WE,434
WH,437
WL,440
WR,443
WU,446
WV,449
WC,432
WF,435
WJ,438
WN,441
WS,444
JJ,447
WW,450
WX,451
ZW,454
UW,457
RW,460
LW,463
MY,466
MU,469
JL,424
JP,427
JT,472
JW,475
JZ,478
MC,481
MF,484
MJ,487
MN,490
IA,493
ID,496
IG,499
IK,502
IO,505
IS,508
IV,511
IY,514
QB,517
WY,452
YW,455
TW,458
PW,461
KW,464
MX,467
MT,470
JN,425
JR,428
JU,473
JX,476
MA,479
MD,482
MG,485
MK,488
MP,491
IB,494
IE,497
IH,500
IL,503
IP,506
IT,509
IW,512
IZ,515
QC,518
WZ,453
XW,456
SW,459
NW,462
MZ,465
MV,468
MS,471
JO,426
JS,429
JV,474
JY,477
MB,480
ME,483
MH,486
ML,489
MR,492
IC,495
IF,498
IJ,501
IN,504
IR,507
IU,510
IX,513
QA,516
QD,519
QE,520
QH,523
QL,526
QP,529
QT,532
QF,521
QJ,524
QN,527
QR,530
QU,533
QG,522
QK,525
QO,528
QS,531
QV,534
QW,535
QZ,538
OC,541
OF,544
OJ,547
ON,550
OR,553
OU,556
OX,559
AD,562
AM,565
BB,568
BO,571
CD,574
CO,577
DM,580
QX,536
OA,539
OD,542
OG,545
OK,548
OO,551
OS,554
OV,557
OY,560
AI,563
AW,566
BI,569
BW,572
CI,575
CW,578
DO,581
QY,537
OB,540
OE,543
OH,546
OL,549
OP,552
OT,555
OW,558
OZ,561
AK,564
AY,567
BM,570
CC,573
CM,576
DC,579
DW,582
